i  symbol  | frequency | timestamp  |        open        |        high
|        low         |       close        |  prediction  | trainmodel
----------+-----------+------------+--------------------+--------------------
+--------------------+--------------------+--------------+------------
 GOOGL.US | D         | 2026-07-21 | 349.46160878427906 |  369.1669534166332
|  330.8080934218153 | 349.46160878427906 | KALMAN       | NELDERMEAD
 GOOGL.US | D         | 2026-07-21 | 346.90503317959497 | 361.09425254438634
| 338.85206516058946 | 346.90503317959497 | QUANTILE     | ACO
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  349.2310848786751 |  366.2690176839638
| 332.98571475344363 |  349.2310848786751 | ENSEMBLE     | PSO
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | PSO
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | PSO
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | PSO
 GOOGL.US | D         | 2026-07-20 |  348.2802785898256 | 365.27182441995177
| 332.07913763189504 |  348.2802785898256 | ARIMA        | GA
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | GA
 GOOGL.US | D         | 2026-07-20 |  348.2256516265926 |  365.2145323717099
| 332.02705178047864 |  348.2256516265926 | ENSEMBLE     | GA
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | GA
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | GA
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | GA
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | GA
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | GA
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | GA
 GOOGL.US | D         | 2026-07-20 |  348.4407585688135 | 365.44013373377544
|  332.2321524774248 |  348.4407585688135 | ARIMA        | DE
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | DE
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | DE
 GOOGL.US | D         | 2026-07-20 | 348.26801834949845 |  365.2589660394248
| 332.06744770775833 | 348.26801834949845 | ENSEMBLE     | DE
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | DE
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | DE
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | DE
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | DE
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | DE
 GOOGL.US | D         | 2026-07-20 |  348.0671383666585 |  365.0482857272392
| 331.87591216707517 |  348.0671383666585 | ARIMA        | SA
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | SA
 GOOGL.US | D         | 2026-07-20 | 348.16938259644974 |  365.1555181450593
|  331.9734002470617 | 348.16938259644974 | ENSEMBLE     | SA
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | SA
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | SA
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | SA
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | SA
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | SA
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | SA
 GOOGL.US | D         | 2026-07-20 |  348.1819206256579 |  365.1686678669501
